Draw.up.date,daily_count
2017-08-28,1
2017-09-11,7
2017-09-15,4
2017-09-18,1
2017-09-25,1
2017-10-05,1
2017-10-10,1
2017-10-23,1
2017-10-24,3
2017-11-09,2
2017-11-13,7
2017-11-14,2
2017-11-20,4
2017-12-06,3
2018-01-30,2
2018-02-02,19
2018-02-05,1
2018-02-13,7
2018-02-22,5
2018-03-04,4
2018-03-09,1
2018-03-14,1
2018-03-15,3
2018-03-21,3
2018-03-22,3
2018-03-26,3
2018-05-02,10
2018-05-06,4
2018-05-12,1
2018-05-15,3
2018-05-29,1
2018-05-31,2
2018-06-08,1
2018-06-09,2
2018-06-26,3
2018-07-06,5
2018-07-09,3
2018-07-17,4
2018-07-20,1
2018-07-25,1
2018-07-30,1
2018-08-23,1
2018-08-24,1
2018-08-27,2
2018-08-30,6
2018-09-08,2
2018-09-13,3
2018-09-14,1
2018-09-17,5
2018-09-20,10
2018-09-21,16
2018-09-27,6
2018-10-04,3
2018-10-12,6
2018-10-30,5
2018-10-31,1
2018-11-09,1
2018-11-14,9
2018-11-27,8
2018-11-28,4
2018-12-03,5
2018-12-12,9
2018-12-20,6
2018-12-21,3
2019-01-02,3
2019-01-28,17
2019-01-31,1
2019-02-04,2
2019-02-13,1
2019-02-15,1
2019-02-18,3
2019-02-25,1
2019-02-28,1
2019-03-14,6
2019-03-20,12
2019-03-25,4
2019-03-26,1
2019-03-27,7
2019-03-28,3
2019-03-29,1
2019-04-02,5
2019-04-06,8
2019-04-07,1
2019-04-18,8
2019-04-22,4
2019-04-23,12
2019-04-26,6
2019-04-29,3
2019-04-30,2
2019-05-03,8
2019-05-07,7
2019-05-15,2
2019-06-25,6
2019-07-05,3
2019-07-15,9
2019-07-23,2
2019-07-26,3
2019-08-04,2
2019-08-05,2
2019-10-05,2
2019-11-04,3
2019-12-03,5
2019-12-06,7
